Annual North Carolina Population Growth,,,,,,,,,,
,,,,,,,,,,
,,,           Growth,,   Average,,,,,
,    Date,    Population ,    Amount,   Percent,  Percent Growth,,,,,
,,,,,  Past 10 Years,,,,,
,July_1976,"5,597,900",,,,,,,,
,,,"76,100",1.3594,          N/A,,,,,
,July_1977,"5,674,000",,,,,,,,
,,,"71,400",1.2584,          N/A,,,,,
,July_1978,"5,745,400",,,,,,,,
,,,"62,500",1.0878,          N/A,,,,,
,July_1979,"5,807,900",,,,,,,,
,,,"87,295",1.5030,          N/A,,,,,
,July_1980,"5,895,195",,,,,,,,
,,,"60,402",1.0246,          N/A,,,,,
,July_1981,"5,955,597",,,,,,,,
,,,"62,953",1.0570,          N/A,,,,,
,July_1982,"6,018,550",,,,,,,,
,,,"58,468",0.9715,          N/A,,,,,
,July_1983,"6,077,018",,,,,,,,
,,,"87,483",1.4396,          N/A,,,,,
,July_1984,"6,164,501",,,,,,,,
,,,"90,497",1.4680,          N/A,,,,,
,July_1985,"6,254,998",,,,,,,,
,,,"68,176",1.0899,1.22593,,,,,
,July_1986,"6,323,174",,,,,,,,
,,,"82,694",1.3078,1.22077,,,,,
,July_1987,"6,405,868",,,,,,,,
,,,"77,476",1.2095,1.21588,,,,,
,July_1988,"6,483,344",,,,,,,,
,,,"85,466",1.3182,1.23892,,,,,
,July_1989,"6,568,810",,,,,,,,
,,,"93,663",1.4259,1.23120,,,,,
,July_1990,"6,662,473", ,,,,,,,
,, ,"120,100",1.8026,1.30900,,,,,
,July_1991,"6,782,573",,,,,,,,
,,,"112,400",1.6572,1.36902,,,,,
,July_1992,"6,894,973",,,,,,,,
,,,"145,369",2.1083,1.48271,,,,,
,July_1993,"7,040,342", ,,,,,,,
,,,"144,755",2.0561,1.54436,,,,,
,July_1994,"7,185,097",,,,,,,,
,,,"156,929",2.1841,1.61596,,,,,
,July_1995,"7,342,026",     ,,,,,,,
,,,"155,837",2.1225,1.71922,,,,,
,July_1996,"7,497,863",,,,,,,,
,,,"155,991",2.0805,1.79649,,,,,
,July_1997,"7,653,854",,,,,,,,
,,,"153,241",2.0021,1.87576,,,,,
,July_1998,"7,807,095",,,,,,,,
,,,"141,806",1.8164,1.92557,,,,,
,July_1999,"7,948,901",,,,,,,,
,,,"133,085",1.6743,1.95041,,,,,
,July_2000,"8,081,986",,,,,,,,
,,,"127,789",1.5812,1.92826,,,,,
,July_2001,"8,209,775",,,,,,,,
, ,,"114,284",1.3920,1.90175,,,,,
,July_2002,"8,324,059",,,,,,,,
,,,"94,434",1.1345,1.80436,,,,,
,July_2003,"8,418,493",,,,,,,,
,,,"123,927",1.4721,1.74596,,,,,
,July_2004,"8,542,420",,,,,,,,
,,,"143,391",1.6786,1.69541,,,,,
,July_2005,"8,685,811",,,,,,,,
,,,"204,569",2.3552,1.71868,,,,,
,July_2006,"8,890,380",,,,,,,,
,,,"200,192",2.2518,1.73581,,,,,
,July_2007,"9,090,572",,,,,,,,
,,,"188,222",2.0705,1.74265,,,,,
,July_2008,"9,278,794",,,,,,,,
,,,"156,602",1.6877,1.72978,,,,,
,July_2009,"9,435,396",,,,,,,,
,,,"139,521",1.4787,1.71023,,,,,
,July_2010,"9,574,917",,,,,,,,
,,,"91,550",0.9561,1.64773,,,,,
,July_2011,"9,666,467",,,,,,,,
,,,"96,172",0.9949,1.60801,,,,,
,July_2012,"9,762,639",,,,,,,,
,,,"97,510",0.9988,1.59445,,,,,
,July_2013,"9,860,149",,,,,,,,
,,,"93,538",0.9486,1.54210,,,,,
,July_2014,"9,953,687",,,,,,,,
